library,profile_c604,term,overlap_size_c604,mean_r_c604,median_r_c604,auc_c604,p_value_c604,fdr_c604,rank_positive_c604,profile_mastl,overlap_size_mastl,mean_r_mastl,median_r_mastl,auc_mastl,p_value_mastl,fdr_mastl,rank_positive_mastl
Reactome_2022,C-604 2 uM endpoint,Impaired BRCA2 Binding To RAD51 R-HSA-9709570,33,0.025277011205451116,0.018562359992732633,0.660878526706619,0.0006912977199987197,0.018585273318427117,52,MASTL dependency profile,33,0.024121772689407812,0.019870926407215682,0.6332293878156088,0.004041381980203996,0.05485293211966201,103
Reactome_2022,C-604 2 uM endpoint,PRC2 Methylates Histones And DNA R-HSA-212300,31,0.02515753818565977,0.03444970154235707,0.6872466631855355,0.00015422092551714884,0.005988912607582613,36,MASTL dependency profile,31,0.03513343380497446,0.040923488034447515,0.6980894615140422,6.753157875815906e-05,0.0020041694458989715,47
Reactome_2022,C-604 2 uM endpoint,Cleavage Of Damaged Purine R-HSA-110331,25,0.025101350741817692,0.03444970154235707,0.6860442374854482,0.000641120741044212,0.017925735919596168,50,MASTL dependency profile,25,0.0617063777863847,0.056245606651606384,0.7923767390418535,2.0933636857983347e-07,3.761610004663531e-05,7
Reactome_2022,C-604 2 uM endpoint,Cleavage Of Damaged Pyrimidine R-HSA-110329,30,0.024177903154183427,0.02391612741094892,0.6838602620087336,0.00024575532858961315,0.00858914873420698,40,MASTL dependency profile,30,0.05419615841158877,0.05671915506697741,0.766156205116261,2.2629983146210727e-07,3.761610004663531e-05,8
Reactome_2022,C-604 2 uM endpoint,tRNA Modification In Nucleus And Cytosol R-HSA-6782315,42,0.022477742140382416,0.03136417707895619,0.6581461227502129,0.00019562477889754277,0.007391444348615265,37,MASTL dependency profile,42,0.02678476836203194,0.02844314611517785,0.6511076520108101,0.00035189177657360133,0.007808646089680868,63
Reactome_2022,C-604 2 uM endpoint,HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567,101,0.022378234057600414,0.022466867998709835,0.6498011003158314,9.98304787394763e-08,9.968786376984848e-06,14,MASTL dependency profile,101,0.02095433258542402,0.017608247622852954,0.6122543494482758,4.881900056326098e-05,0.001610490570487516,42
Reactome_2022,C-604 2 uM endpoint,HDR Thru Homologous Recombination (HRR) R-HSA-5685942,62,0.02235882468308076,0.020514613995721236,0.6415324227136817,5.8243739005309066e-05,0.0026266047461103894,31,MASTL dependency profile,62,0.02018858910212757,0.016599812312141703,0.6113751924155347,0.0012133674641812838,0.021218184135054594,79
Reactome_2022,C-604 2 uM endpoint,Transcriptional Regulation Of Granulopoiesis R-HSA-9616222,48,0.0222182089626134,0.019178035701994913,0.6387796040488819,0.00044058883784774415,0.013687626562469917,45,MASTL dependency profile,48,0.03760985478637052,0.03319272107385342,0.6919906543871921,2.100369820956539e-06,0.00015649818515402344,18
Reactome_2022,C-604 2 uM endpoint,Homology Directed Repair R-HSA-5693538,106,0.022197809203464373,0.020514613995721236,0.6453450328663157,1.185638297760486e-07,1.105014893512773e-05,15,MASTL dependency profile,106,0.01978750965851021,0.015845055221682867,0.6039297324855384,0.00010989522168997934,0.0028450651837516874,54
Reactome_2022,C-604 2 uM endpoint,"Base-Excision Repair, AP Site Formation R-HSA-73929",32,0.021066771605659916,0.02171169528223095,0.6625589588307227,0.0007302544425073016,0.01890547612268903,54,MASTL dependency profile,32,0.053874683097946234,0.05671915506697741,0.7591391509433962,1.9561167383959994e-07,3.761610004663531e-05,6
