library,profile,term,overlap_size,mean_r,median_r,auc,p_value,fdr,rank_positive
Reactome_2022,C-604 2 uM endpoint,Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517,159,0.013275899266260684,0.021304440275230756,0.6275287660396545,1.4733735668407165e-08,1.7164802053694348e-06,12
Reactome_2022,C-604 2 uM endpoint,Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226,152,0.016411358135288493,0.016525680636004944,0.6256219001441327,4.6170716966547555e-08,4.965127870710267e-06,13
Reactome_2022,C-604 2 uM endpoint,HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567,101,0.022378234057600414,0.022466867998709835,0.6498011003158314,9.98304787394763e-08,9.968786376984848e-06,14
Reactome_2022,C-604 2 uM endpoint,Homology Directed Repair R-HSA-5693538,106,0.022197809203464373,0.020514613995721236,0.6453450328663157,1.185638297760486e-07,1.105014893512773e-05,15
Reactome_2022,C-604 2 uM endpoint,Resolution Of D-loop Structures Thru Holliday Junction Intermediates R-HSA-5693568,31,0.04375041679980901,0.04810547617175028,0.7637764512748078,1.8597059804117887e-07,1.6249181003848005e-05,16
Reactome_2022,C-604 2 uM endpoint,Resolution Of D-Loop Structures R-HSA-5693537,32,0.042567239577367535,0.04560361015435881,0.7580249519594713,2.1932980081359088e-07,1.803665067867059e-05,17
Reactome_2022,C-604 2 uM endpoint,Nonhomologous End-Joining (NHEJ) R-HSA-5693571,43,0.03453635021560183,0.03444970154235707,0.7208963556586618,2.7022607663107847e-07,2.0987558618347096e-05,18
Reactome_2022,C-604 2 uM endpoint,DNA Double-Strand Break Repair R-HSA-5693532,135,0.017904487716536067,0.015147693541367534,0.6176805745405628,1.1921222469419493e-06,8.771510006446554e-05,19
Reactome_2022,C-604 2 uM endpoint,DNA Repair R-HSA-73894,282,0.011091421656772817,0.008315146325630149,0.5770928230202464,4.341434750212848e-06,0.0003034662890398781,20
Reactome_2022,C-604 2 uM endpoint,Resolution Of D-loop Structures Thru Synthesis-Dependent Strand Annealing (SDSA) R-HSA-5693554,26,0.04082954841805851,0.04016510211352487,0.7383724314570115,1.2929318052149566e-05,0.0008607231731859569,21
Reactome_2022,C-604 2 uM endpoint,Deposition Of New CENPA-containing Nucleosomes At Centromere R-HSA-606279,42,0.025847382570623485,0.034374859645884076,0.6855000929463436,1.5965120528814238e-05,0.0010145108408764684,22
Reactome_2022,C-604 2 uM endpoint,Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012,76,0.017544485235647944,0.017694590086657577,0.6348636200226763,2.415490361884477e-05,0.0014681980547454343,23
Reactome_2022,C-604 2 uM endpoint,rRNA Modification In Nucleus And Cytosol R-HSA-6790901,56,0.019294128429853175,0.02004339933684558,0.6561023966412036,2.6735317807320967e-05,0.0015573322622764463,24
Reactome_2022,C-604 2 uM endpoint,Defective HDR Thru Homologous Recombination (HRR) Due To BRCA1 Loss-Of-Function R-HSA-9701192,24,0.041671544346419814,0.04016510211352487,0.7374716256329666,2.823718479996844e-05,0.001579023374014235,25
Reactome_2022,C-604 2 uM endpoint,Processing Of DNA Double-Strand Break Ends R-HSA-5693607,68,0.020438626534428853,0.016424216896714902,0.6406210847529769,3.0505395377839826e-05,0.0015830467026736188,26
Reactome_2022,C-604 2 uM endpoint,Impaired BRCA2 Binding To PALB2 R-HSA-9709603,23,0.04292090275275425,0.043101744136967345,0.7414432697514588,3.057386335635745e-05,0.0015830467026736188,27
Reactome_2022,C-604 2 uM endpoint,Defective Homologous Recombination Repair (HRR) Due To BRCA2 Loss Of Function R-HSA-9701190,39,0.031104106327865776,0.022466867998709835,0.6849227901307594,3.223499210720325e-05,0.0016094471059239339,28
Reactome_2022,C-604 2 uM endpoint,Homologous DNA Pairing And Strand Exchange R-HSA-5693579,41,0.028828611653219847,0.022466867998709835,0.6744490737846087,5.560691560265634e-05,0.0026148670059442237,29
Reactome_2022,C-604 2 uM endpoint,G2/M DNA Damage Checkpoint R-HSA-69473,67,0.019531055964800172,0.018562359992732633,0.636490786817459,5.6113025878631414e-05,0.0026148670059442237,30
Reactome_2022,C-604 2 uM endpoint,HDR Thru Homologous Recombination (HRR) R-HSA-5685942,62,0.02235882468308076,0.020514613995721236,0.6415324227136817,5.8243739005309066e-05,0.0026266047461103894,31
