library,profile,term,overlap_size,mean_r,median_r,auc,p_value,fdr,rank_positive
Reactome_2022,MASTL dependency profile,DNA Double Strand Break Response R-HSA-5693606,52,0.03561044397744349,0.030305072816099884,0.6862487442594719,1.6978585519348516e-06,0.00014123045242621325,16
Reactome_2022,MASTL dependency profile,rRNA Processing R-HSA-72312,172,0.019083369726487418,0.01737577408264504,0.6027149988530481,1.7173946289310623e-06,0.00014123045242621325,17
Reactome_2022,MASTL dependency profile,Transcriptional Regulation Of Granulopoiesis R-HSA-9616222,48,0.03760985478637052,0.03319272107385342,0.6919906543871921,2.100369820956539e-06,0.00015649818515402344,18
Reactome_2022,MASTL dependency profile,RNA Polymerase I Promoter Opening R-HSA-73728,21,0.05085366860948831,0.046738545763185736,0.7898698325864711,2.1269424305625505e-06,0.00015649818515402344,19
Reactome_2022,MASTL dependency profile,Oxidative Stress Induced Senescence R-HSA-2559580,79,0.02426558282791632,0.029133367169634876,0.6480731774923774,2.7015852419069858e-06,0.0001888408084092983,20
Reactome_2022,MASTL dependency profile,Condensation Of Prophase Chromosomes R-HSA-2299718,31,0.040664306403870254,0.045461218465280055,0.7347110899893494,3.0525909533047577e-06,0.00019876062659952913,21
Reactome_2022,MASTL dependency profile,HDACs Deacetylate Histones R-HSA-3214815,51,0.030914525363759465,0.030190442099131756,0.6828886046344148,3.1278496317522467e-06,0.00019876062659952913,22
Reactome_2022,MASTL dependency profile,DNA Methylation R-HSA-5334118,22,0.048289427142669254,0.046099882114232896,0.7744203765039523,4.179035139234624e-06,0.00025401265759347844,23
Reactome_2022,MASTL dependency profile,Meiosis R-HSA-1500620,72,0.030231845438511692,0.028043402528374173,0.6514174254805821,4.471244503506675e-06,0.0002604499923292638,24
Reactome_2022,MASTL dependency profile,Meiotic Recombination R-HSA-912446,44,0.0355287849664695,0.0405088349528136,0.6885304089849544,7.57779745920084e-06,0.00042375043391851096,25
Reactome_2022,MASTL dependency profile,Mitochondrial Translation Elongation R-HSA-5389840,81,0.021075829558378598,0.02658706240696204,0.6380235089184066,8.81894764436534e-06,0.00047418803103164406,26
Reactome_2022,MASTL dependency profile,Peptide Chain Elongation R-HSA-156902,63,0.02800947444229194,0.018391347627942596,0.6533615215722444,1.28318767913678e-05,0.0006607183262757109,27
Reactome_2022,MASTL dependency profile,Mitochondrial Translation R-HSA-5368287,87,0.020058383435345578,0.02563793665430111,0.6303802296433135,1.3233271198655155e-05,0.0006607183262757109,28
Reactome_2022,MASTL dependency profile,GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706,86,0.023853481282114106,0.01712580249675648,0.6306139056670933,1.423905453812992e-05,0.0006864206291139871,29
Reactome_2022,MASTL dependency profile,Mitochondrial Translation Termination R-HSA-5419276,81,0.020277333739068447,0.02563793665430111,0.6339650012293045,1.5456151298960084e-05,0.0007202566505315398,30
Reactome_2022,MASTL dependency profile,Eukaryotic Translation Elongation R-HSA-156842,67,0.026625835418581094,0.018391347627942596,0.6456841659706369,1.8724865422273377e-05,0.0008444310277528446,31
Reactome_2022,MASTL dependency profile,L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827,85,0.02358366968018653,0.016896548853170344,0.6289069936053164,2.0072289333227726e-05,0.0008527895083582034,32
Reactome_2022,MASTL dependency profile,Mitochondrial Translation Initiation R-HSA-5368286,81,0.020125018677565946,0.02563793665430111,0.6320146968592529,2.0130224446223684e-05,0.0008527895083582034,33
Reactome_2022,MASTL dependency profile,Telomere C-strand (Lagging Strand) Synthesis R-HSA-174417,29,0.04820543576921761,0.044026634883043446,0.7190684133915575,2.2220871843919363e-05,0.0009136699658176255,34
Reactome_2022,MASTL dependency profile,Selenocysteine Synthesis R-HSA-2408557,68,0.026030677742780003,0.018760999154249516,0.6415029246992915,2.7416928914473868e-05,0.0010951104749266991,35
Reactome_2022,MASTL dependency profile,Cap-dependent Translation Initiation R-HSA-72737,93,0.021807107302486868,0.016896548853170344,0.6196271907086116,3.3684181753359824e-05,0.0012637247270603739,36
Reactome_2022,MASTL dependency profile,Formation Of A Pool Of Free 40S Subunits R-HSA-72689,75,0.024893148917500333,0.017355056140342617,0.6330246949617607,3.418251699790728e-05,0.0012637247270603739,37
Reactome_2022,MASTL dependency profile,Defective Pyroptosis R-HSA-9710421,30,0.037089193362901854,0.03691300929566469,0.7099937890609836,3.435017140793577e-05,0.0012637247270603739,38
Reactome_2022,MASTL dependency profile,Inhibition Of DNA Recombination At Telomere R-HSA-9670095,32,0.044122231901409584,0.043530394021772556,0.7016600425110645,3.941916493187591e-05,0.0014130254506349365,39
Reactome_2022,MASTL dependency profile,Viral mRNA Translation R-HSA-192823,68,0.025453097157893203,0.017873201884142605,0.6372677747569616,4.5527500235016265e-05,0.0015911861332138185,40
Reactome_2022,MASTL dependency profile,RMTs Methylate Histone Arginines R-HSA-3214858,43,0.02976974927863757,0.03084286537630318,0.6718424551071047,4.839515411122331e-05,0.001610490570487516,41
Reactome_2022,MASTL dependency profile,HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567,101,0.02095433258542402,0.017608247622852954,0.6122543494482758,4.881900056326098e-05,0.001610490570487516,42
Reactome_2022,MASTL dependency profile,Meiotic Synapsis R-HSA-1221632,46,0.03325640515731331,0.029691752857713603,0.6659182939128407,4.9535832997827745e-05,0.001610490570487516,43
Reactome_2022,MASTL dependency profile,RHO GTPases Activate PKNs R-HSA-5625740,50,0.025904249337598318,0.030409354029787616,0.6577766118689519,5.693169744819906e-05,0.001808875296195052,44
Reactome_2022,MASTL dependency profile,DNA Damage/Telomere Stress Induced Senescence R-HSA-2559586,43,0.03607925311752993,0.04374302815506562,0.6696471041016475,5.937431348447129e-05,0.0018271848059413485,45
Reactome_2022,MASTL dependency profile,Formation Of beta-catenin:TCF Transactivating Complex R-HSA-201722,48,0.028400438226537317,0.030748887615381713,0.6604637833216757,6.012196071051647e-05,0.0018271848059413485,46
