gene,profile,n_models,pearson_r,p_value,fdr,rank_positive
LYSET,MASTL dependency strength vs dependency strength,1165,-0.01329633616230741,0.6502861633813809,0.8474754302562895,10828
ABCA12,MASTL dependency strength vs dependency strength,1165,-0.013298573760780377,0.6502312299828045,0.8474754302562895,10829
GLS2,MASTL dependency strength vs dependency strength,1165,-0.013304059664511099,0.6500965582052124,0.8474527778055538,10830
CDNF,MASTL dependency strength vs dependency strength,1165,-0.013325382974534993,0.6495732072004883,0.8469954112988631,10831
FPGT,MASTL dependency strength vs dependency strength,1165,-0.013325490730847172,0.6495705629098465,0.8469954112988631,10832
TSPAN9,MASTL dependency strength vs dependency strength,1165,-0.01332584668389753,0.6495618280160471,0.8469954112988631,10833
FOXO4,MASTL dependency strength vs dependency strength,1165,-0.013329788486910321,0.6494651015357453,0.8469954112988631,10834
HSD11B1L,MASTL dependency strength vs dependency strength,1165,-0.013332604392604974,0.6493960066567088,0.8469954112988631,10835
PSEN1,MASTL dependency strength vs dependency strength,1165,-0.013335991156564548,0.6493129084155719,0.8469954112988631,10836
SLC8A3,MASTL dependency strength vs dependency strength,1165,-0.013346185032961888,0.6490628159602588,0.8468433706795309,10837
LETM2,MASTL dependency strength vs dependency strength,1165,-0.013364941931564529,0.6486027450116412,0.8464356842281935,10838
JMY,MASTL dependency strength vs dependency strength,1165,-0.01336857828019417,0.6485135678069218,0.8463835093726508,10839
CBX1,MASTL dependency strength vs dependency strength,1165,-0.013370158157567766,0.6484748247274028,0.8463835093726508,10840
SAGE1,MASTL dependency strength vs dependency strength,1165,-0.013383507918999905,0.6481474886177347,0.8461624976612163,10841
NR1D1,MASTL dependency strength vs dependency strength,1165,-0.01338579547913674,0.6480914044635685,0.8461534888359439,10842
DYNLT5,MASTL dependency strength vs dependency strength,1165,-0.013390550823811551,0.6479748239720017,0.846129705625375,10843
ZNF280C,MASTL dependency strength vs dependency strength,1165,-0.013395296357209777,0.6478584926037205,0.8460420150868686,10844
CGAS,MASTL dependency strength vs dependency strength,1165,-0.013401399954471222,0.6477088824650069,0.8459108490038699,10845
UBE2U,MASTL dependency strength vs dependency strength,1165,-0.013407403947160421,0.6475617276771648,0.8458509176193112,10846
TAFA5,MASTL dependency strength vs dependency strength,1165,-0.013410959285865534,0.6474745946289533,0.8458509176193112,10847
APBA2,MASTL dependency strength vs dependency strength,1165,-0.01341678962825585,0.647331716996279,0.8458035132683211,10848
POM121L2,MASTL dependency strength vs dependency strength,1165,-0.013417509229333035,0.6473140834429937,0.8458035132683211,10849
GPR62,MASTL dependency strength vs dependency strength,1165,-0.013420727739765357,0.6472352174771329,0.8458035132683211,10850
